name,type,address,barangay,latitude,longitude,contact,source,notes
Jollibee - SM Batangas,fast_food,"Ground Floor, SM City Batangas, M. Pastor Avenue, Batangas City",Pallocan Kanluran,13.7559375,121.0688125,,foodpanda + SM official,mall centroid; official mall barangay used
Taho Story - SM City Batangas,dessert,"Ground Floor, SM City Batangas, M. Pastor Avenue, Batangas City",Pallocan Kanluran,13.7559375,121.0688125,,foodpanda + SM official,mall centroid; listing text used nearby Gulod Labak
Mang Inasal - SM City Batangas,fast_food,"SM City Batangas, M. Pastor Avenue, Batangas City",Pallocan Kanluran,13.7559375,121.0688125,,foodpanda + SM official,mall centroid
Chowking - SM Batangas,fast_food,"SM City Batangas, M. Pastor Avenue, Batangas City",Pallocan Kanluran,13.7559375,121.0688125,,foodpanda + SM official,mall centroid
Greenwich - SM Batangas,fast_food,"SM City Batangas, M. Pastor Avenue, Batangas City",Pallocan Kanluran,13.7559375,121.0688125,,foodpanda + SM official,mall centroid
Max's Restaurant - SM Batangas,restaurant,"SM City Batangas, M. Pastor Avenue, Batangas City",Pallocan Kanluran,13.7559375,121.0688125,,foodpanda + SM official,mall centroid
Kuya J Restaurant - SM Batangas,restaurant,"SM City Batangas, M. Pastor Avenue, Batangas City",Pallocan Kanluran,13.7559375,121.0688125,,foodpanda + SM official,mall centroid
BonChon - SM City Batangas,fast_food,"SM City Batangas, M. Pastor Avenue, Batangas City",Pallocan Kanluran,13.7559375,121.0688125,,foodpanda + SM official,mall centroid
Chatime - SM City Batangas,cafe,"SM City Batangas, M. Pastor Avenue, Batangas City",Pallocan Kanluran,13.7559375,121.0688125,,foodpanda + SM official,mall centroid
Goldilocks - SM Batangas,bakery,"SM City Batangas, M. Pastor Avenue, Batangas City",Pallocan Kanluran,13.7559375,121.0688125,,foodpanda + SM official,mall centroid
Jollibee - Wm Batangas,fast_food,"WalterMart Batangas, P. Burgos Street, Batangas City",Calicanto,13.7639759,121.0564598,,foodpanda + WalterMart,mall centroid
Mang Inasal - Waltermart Batangas,fast_food,"Level 1 WalterMart Batangas, P. Burgos Street, Batangas City",Calicanto,13.7639759,121.0564598,,foodpanda + WalterMart,mall centroid
Greenwich - WM Batangas,fast_food,"Ground Floor Walter Mart, P. Burgos Street, Batangas City",Calicanto,13.7639759,121.0564598,,foodpanda + WalterMart,mall centroid
Lots'a Pizza - Waltermart Batangas,pizza,"WalterMart Batangas, P. Burgos Street, Batangas City",Calicanto,13.7639759,121.0564598,,foodpanda + WalterMart,mall centroid
Potato Corner - Waltermart Batangas,snack_kiosk,"WalterMart Batangas, P. Burgos Street, Batangas City",Calicanto,13.7639759,121.0564598,,foodpanda + WalterMart,mall centroid
24/7 Eats - Batangas City,restaurant,"Unit 108-113, 2nd Floor, Batangas Business Center, Purok 2, Batangas City",Calicanto,13.7598527,121.0571336,,foodpanda + Maptons,building centroid
Burger Beast - Batangas City,fast_food,"Unit 108-113, 2nd Floor, Batangas Business Center, Purok 2, Batangas City",Calicanto,13.7598527,121.0571336,,foodpanda + Maptons,building centroid
Lugaw Daddy - Batangas City,restaurant,"Unit 108-113, 2nd Floor, Batangas Business Center, Purok 2, Batangas City",Calicanto,13.7598527,121.0571336,,foodpanda + Maptons,building centroid
Silog Express Atbp. - Batangas City,restaurant,"Unit 108-113, 2nd Floor, Batangas Business Center, Purok 2, Batangas City",Calicanto,13.7598527,121.0571336,,foodpanda + Maptons,building centroid
Super Healthee - Batangas City,health_food,"Unit 108-113, 2nd Floor, Batangas Business Center, Purok 2, Batangas City",Calicanto,13.7598527,121.0571336,,foodpanda + Maptons,building centroid
Jollibee - Baycity Mall,fast_food,"Ground Floor, Baycity Mall, Diego Silang cor. P. Burgos Street, Batangas City",Barangay 14,13.75869,121.05731,,foodpanda + Mapcarta,mall centroid
Mang Inasal - Batangas Bay City,fast_food,"Second Floor, Bay City Mall, D. Silang Street, Batangas City",Barangay 14,13.75869,121.05731,,foodpanda + Mapcarta,mall centroid
