establishment_id,week_date,quantity_liters
551,2025-05-28,51.5
551,2025-06-04,52.01
551,2025-06-11,52.36
551,2025-06-18,59.49
551,2025-06-25,58.99
551,2025-07-02,57.66
551,2025-07-09,50.66
551,2025-07-16,45.45
551,2025-07-23,45.06
551,2025-07-30,42.51
551,2025-08-06,41.03
551,2025-08-13,42.23
551,2025-08-20,47.51
551,2025-08-27,53.91
551,2025-09-03,54.37
551,2025-09-10,63.45
551,2025-09-17,58.84
551,2025-09-24,57.55
551,2025-10-01,55.19
551,2025-10-08,57.42
551,2025-10-15,54.21
551,2025-10-22,48.27
551,2025-10-29,45.48
551,2025-11-05,42.01
551,2025-11-12,50.61
551,2025-11-19,50.86
551,2025-11-26,49.05
551,2025-12-03,54.79
551,2025-12-10,59.98
551,2025-12-17,63.52
551,2025-12-24,63.0
551,2025-12-31,56.06
551,2026-01-07,55.87
551,2026-01-14,52.35
551,2026-01-21,47.94
551,2026-01-28,42.97
551,2026-02-04,45.55
551,2026-02-11,44.51
551,2026-02-18,48.05
551,2026-02-25,52.7
551,2026-03-04,58.96
551,2026-03-11,60.6
551,2026-03-18,58.05
551,2026-03-25,61.88
551,2026-04-01,60.53
551,2026-04-08,55.29
551,2026-04-15,54.56
551,2026-04-22,52.39
551,2026-04-29,45.31
551,2026-05-06,45.55
551,2026-05-13,46.13
551,2026-05-20,49.79
552,2025-05-28,47.56
552,2025-06-04,50.92
552,2025-06-11,50.62
552,2025-06-18,47.95
552,2025-06-25,50.62
552,2025-07-02,51.3
552,2025-07-09,46.43
552,2025-07-16,42.76
552,2025-07-23,38.64
552,2025-07-30,33.46
552,2025-08-06,40.87
552,2025-08-13,37.61
552,2025-08-20,40.15
552,2025-08-27,45.05
552,2025-09-03,45.68
552,2025-09-10,48.63
552,2025-09-17,51.76
552,2025-09-24,52.91
552,2025-10-01,49.91
552,2025-10-08,48.64
552,2025-10-15,49.09
552,2025-10-22,39.04
552,2025-10-29,41.36
552,2025-11-05,36.58
552,2025-11-12,38.46
552,2025-11-19,42.68
552,2025-11-26,41.86
552,2025-12-03,55.52
552,2025-12-10,53.81
552,2025-12-17,52.99
552,2025-12-24,54.47
552,2025-12-31,55.32
552,2026-01-07,52.35
552,2026-01-14,47.04
552,2026-01-21,44.58
552,2026-01-28,33.76
552,2026-02-04,38.25
552,2026-02-11,40.67
552,2026-02-18,40.77
552,2026-02-25,42.81
552,2026-03-04,53.02
552,2026-03-11,57.03
552,2026-03-18,51.09
552,2026-03-25,51.74
552,2026-04-01,57.15
552,2026-04-08,48.49
552,2026-04-15,45.1
552,2026-04-22,39.68
552,2026-04-29,38.25
552,2026-05-06,42.89
552,2026-05-13,38.62
552,2026-05-20,48.87
553,2025-05-28,17.72
553,2025-06-04,23.49
553,2025-06-11,31.28
553,2025-06-18,29.15
553,2025-06-25,29.45
553,2025-07-02,26.87
553,2025-07-09,25.36
553,2025-07-16,19.94
553,2025-07-23,14.3
553,2025-07-30,13.98
553,2025-08-06,10.82
553,2025-08-13,15.53
553,2025-08-20,17.39
553,2025-08-27,17.14
553,2025-09-03,24.26
553,2025-09-10,27.99
553,2025-09-17,27.86
553,2025-09-24,30.33
553,2025-10-01,30.76
553,2025-10-08,26.52
553,2025-10-15,19.32
553,2025-10-22,19.49
553,2025-10-29,15.98
553,2025-11-05,14.49
553,2025-11-12,14.58
553,2025-11-19,16.68
553,2025-11-26,26.93
553,2025-12-03,28.59
553,2025-12-10,30.48
553,2025-12-17,30.48
553,2025-12-24,32.28
553,2025-12-31,31.92
553,2026-01-07,26.82
553,2026-01-14,23.3
553,2026-01-21,14.08
553,2026-01-28,17.89
553,2026-02-04,20.27
553,2026-02-11,19.84
553,2026-02-18,21.49
553,2026-02-25,23.78
553,2026-03-04,26.73
553,2026-03-11,28.97
553,2026-03-18,33.94
553,2026-03-25,32.61
553,2026-04-01,30.48
553,2026-04-08,25.39
553,2026-04-15,21.13
553,2026-04-22,21.66
553,2026-04-29,21.47
553,2026-05-06,13.8
553,2026-05-13,19.23
553,2026-05-20,22.25
554,2025-05-28,28.7
554,2025-06-04,30.13
554,2025-06-11,37.5
554,2025-06-18,34.77
554,2025-06-25,36.31
554,2025-07-02,35.92
554,2025-07-09,32.67
554,2025-07-16,29.59
554,2025-07-23,25.4
554,2025-07-30,22.56
554,2025-08-06,22.74
554,2025-08-13,25.21
554,2025-08-20,22.14
554,2025-08-27,32.07
554,2025-09-03,34.3
554,2025-09-10,37.91
554,2025-09-17,34.85
554,2025-09-24,38.93
554,2025-10-01,37.91
554,2025-10-08,34.17
554,2025-10-15,31.65
554,2025-10-22,24.92
554,2025-10-29,27.61
554,2025-11-05,23.22
554,2025-11-12,25.2
554,2025-11-19,28.44
554,2025-11-26,35.64
554,2025-12-03,38.13
554,2025-12-10,37.45
554,2025-12-17,39.99
554,2025-12-24,40.22
554,2025-12-31,41.95
554,2026-01-07,34.36
554,2026-01-14,33.1
554,2026-01-21,30.43
554,2026-01-28,28.54
554,2026-02-04,20.32
554,2026-02-11,28.57
554,2026-02-18,30.37
554,2026-02-25,33.75
554,2026-03-04,35.47
554,2026-03-11,38.54
554,2026-03-18,44.54
554,2026-03-25,43.52
554,2026-04-01,38.41
554,2026-04-08,36.35
554,2026-04-15,32.14
554,2026-04-22,30.12
554,2026-04-29,27.37
554,2026-05-06,28.91
554,2026-05-13,25.62
554,2026-05-20,32.5
555,2025-05-28,37.01
555,2025-06-04,39.68
555,2025-06-11,46.32
555,2025-06-18,46.29
555,2025-06-25,47.75
555,2025-07-02,43.01
555,2025-07-09,44.07
555,2025-07-16,34.77
555,2025-07-23,35.1
555,2025-07-30,33.55
555,2025-08-06,32.11
555,2025-08-13,35.16
555,2025-08-20,34.2
555,2025-08-27,35.47
555,2025-09-03,41.81
555,2025-09-10,46.53
555,2025-09-17,48.7
555,2025-09-24,47.27
555,2025-10-01,42.62
555,2025-10-08,38.96
555,2025-10-15,40.68
555,2025-10-22,35.9
555,2025-10-29,37.8
555,2025-11-05,37.78
555,2025-11-12,35.7
555,2025-11-19,39.5
555,2025-11-26,40.27
555,2025-12-03,41.97
555,2025-12-10,52.31
555,2025-12-17,53.09
555,2025-12-24,48.5
555,2025-12-31,45.65
555,2026-01-07,45.87
555,2026-01-14,40.42
555,2026-01-21,34.2
555,2026-01-28,33.71
555,2026-02-04,36.38
555,2026-02-11,36.22
555,2026-02-18,44.46
555,2026-02-25,39.79
555,2026-03-04,48.42
555,2026-03-11,49.76
555,2026-03-18,49.18
555,2026-03-25,47.05
555,2026-04-01,46.35
555,2026-04-08,47.37
555,2026-04-15,45.77
555,2026-04-22,33.32
555,2026-04-29,35.81
555,2026-05-06,30.0
555,2026-05-13,37.05
555,2026-05-20,41.32
556,2025-05-28,30.01
556,2025-06-04,28.18
556,2025-06-11,30.02
556,2025-06-18,36.4
556,2025-06-25,33.99
556,2025-07-02,30.28
556,2025-07-09,30.81
556,2025-07-16,28.2
556,2025-07-23,21.27
556,2025-07-30,20.15
556,2025-08-06,17.76
556,2025-08-13,21.09
556,2025-08-20,25.7
556,2025-08-27,26.49
556,2025-09-03,33.48
556,2025-09-10,29.97
556,2025-09-17,36.42
556,2025-09-24,38.93
556,2025-10-01,31.82
556,2025-10-08,31.25
556,2025-10-15,30.11
556,2025-10-22,24.82
556,2025-10-29,19.3
556,2025-11-05,22.94
556,2025-11-12,20.11
556,2025-11-19,20.88
556,2025-11-26,28.6
556,2025-12-03,33.19
556,2025-12-10,37.0
556,2025-12-17,35.82
556,2025-12-24,30.74
556,2025-12-31,31.35
556,2026-01-07,34.53
556,2026-01-14,28.43
556,2026-01-21,21.99
556,2026-01-28,25.78
556,2026-02-04,15.57
556,2026-02-11,26.08
556,2026-02-18,30.21
556,2026-02-25,33.6
556,2026-03-04,34.26
556,2026-03-11,37.63
556,2026-03-18,35.74
556,2026-03-25,39.19
556,2026-04-01,37.25
556,2026-04-08,29.26
556,2026-04-15,32.61
556,2026-04-22,24.23
556,2026-04-29,24.43
556,2026-05-06,25.65
556,2026-05-13,29.82
556,2026-05-20,25.95
557,2025-05-28,47.95
557,2025-06-04,55.16
557,2025-06-11,56.58
557,2025-06-18,63.04
557,2025-06-25,57.91
557,2025-07-02,56.78
557,2025-07-09,52.82
557,2025-07-16,48.27
557,2025-07-23,46.98
557,2025-07-30,43.44
557,2025-08-06,42.34
557,2025-08-13,44.99
557,2025-08-20,50.01
557,2025-08-27,51.04
557,2025-09-03,57.66
557,2025-09-10,63.67
557,2025-09-17,59.38
557,2025-09-24,59.37
557,2025-10-01,55.24
557,2025-10-08,56.6
557,2025-10-15,47.33
557,2025-10-22,48.0
557,2025-10-29,50.01
557,2025-11-05,44.88
557,2025-11-12,46.26
557,2025-11-19,48.64
557,2025-11-26,52.38
557,2025-12-03,55.06
557,2025-12-10,65.81
557,2025-12-17,65.62
557,2025-12-24,62.18
557,2025-12-31,61.97
557,2026-01-07,57.09
557,2026-01-14,51.62
557,2026-01-21,56.21
557,2026-01-28,49.5
557,2026-02-04,44.02
557,2026-02-11,45.98
557,2026-02-18,46.78
557,2026-02-25,56.78
557,2026-03-04,55.82
557,2026-03-11,60.44
557,2026-03-18,61.84
557,2026-03-25,64.9
557,2026-04-01,63.4
557,2026-04-08,60.84
557,2026-04-15,57.91
557,2026-04-22,47.92
557,2026-04-29,51.95
557,2026-05-06,45.71
557,2026-05-13,50.76
557,2026-05-20,57.13
558,2025-05-28,53.04
558,2025-06-04,56.82
558,2025-06-11,56.01
558,2025-06-18,61.0
558,2025-06-25,58.04
558,2025-07-02,57.16
558,2025-07-09,54.71
558,2025-07-16,48.3
